provider,provider_en,price_from_cny,price_unit,price_range_note,coverage,protocols,free_trial,register_url,invite_code,price_page_path,source_article_title,price_page_url
奔富IP,BenfuIP,2.6,元/月起,2.6–28 元/月（特价独享 1M 起；另有 20M 住宅 12.8 元、大带宽专线 28 元档）,全国 200+ 城市，独享住宅IP,SOCKS5 / HTTP / L2TP,支持,https://user.benfuip.com/main/register?aff=adminA1,adminA1,/jiagebiao/benfujiasuqijiagebiaoduxiangyouxisocks5xianludizhi26yuanyue/,奔富IP 的档位怎么分？价格阶梯一张表看懂（2.6 元/月起）,https://socks5ip.com.cn/jiagebiao/benfujiasuqijiagebiaoduxiangyouxisocks5xianludizhi26yuanyue/
天行IP,TianxingIP,6,元/月起,6–60 元/月（长效静态 / J·N 节点 / 静态·住宅 L2TP / 安卓专区分档；家庭住宅定制 35 元档）,350+ 城市，长效静态 + 家庭住宅双线,SOCKS5 / HTTP / L2TP,支持,http://www.tianxingip.com/proxy/index/index/code/tianxingA0/p/2242.html,tianxingA0,/guoneiip/tianxingipjiagebiao/,天行IP价格表：J/N节点/静态/L2TP（2026）,https://socks5ip.com.cn/guoneiip/tianxingipjiagebiao/
沧海IP,CanghaiIP,4,元/月起,4–50 元/月（一区专线 / 二区特价住宅 / 三区家宽 / 四区住宅 / 五区安卓 / 六·七区软路由 L2TP）,静态住宅，分区细致,SOCKS5 / HTTP / L2TP,支持,http://www.canghaiip.com/#/register?invitation=YAXI&shareid=913,YAXI,/guoneiip/canghaiipjiagebiaoji/,沧海IP价格表：八大套餐全列（2026）,https://socks5ip.com.cn/guoneiip/canghaiipjiagebiaoji/
无双IP,WushuangIP,5.3,元/月起,5.3–24.2 元/月（国内线路 / 国外精选·优选 / 国外住宅 分档）,静态住宅，多地区,SOCKS5 / HTTP / L2TP,支持,https://new.6nn.net/admin#/login?scope=register&inviteCode=nBhBjh3kGW39,nBhBjh3kGW39,/zuixinzixun/wangchuangxiangmu/wushuangdailijiageti/,,https://socks5ip.com.cn/zuixinzixun/wangchuangxiangmu/wushuangdailijiageti/
全球代理IP,GlobalProxyIP,5,元/月起,5–25 元/月（国内静态 / 游戏精选·优选 / 游戏住宅 分档；另有 L2TP 6–38 元档）,海外静态住宅,SOCKS5 / HTTP / L2TP,支持,https://socks5ip.6nn.net/register,,/jiagebiao/quanqiudailiipjiage/,全球代理IP价格表：Socks5/L2TP全套餐（2026）,https://socks5ip.com.cn/jiagebiao/quanqiudailiipjiage/
55游IP,55UIP,0.6,元/天起,按天 / 周 / 包月计费，0.6 元/天起,游戏场景住宅线路,SOCKS5 / L2TP,支持,https://55u.net/#/login?c=adminA1,adminA1,/guowaiip/55you/55you-jiagebiao-2026/,55游IP价格表2026：按天/周/包月全档价一览,https://socks5ip.com.cn/guowaiip/55you/55you-jiagebiao-2026/
光梭IP,GuangsuoIP,1.68,元/月起,约 1.68–398 元/月（档位跨度大）,全国 700+ 地区,SOCKS5 / HTTP / L2TP,支持,https://guangsuoip.com/user/login?p=guangsuoip&code=adminA8,adminA8,/guoneiip/guangsuoip/,光梭IP价格表：全国700+地区（2026）,https://socks5ip.com.cn/guoneiip/guangsuoip/
JiuIP,JiuIP,1,元/月起,全线路覆盖,多城市住宅线路,SOCKS5 / HTTP,支持,https://jiuip.com/#/r?p=adminA0,adminA0,/guoneiip/jiuip/,JiuIP价格表：全线路覆盖（2026）,https://socks5ip.com.cn/guoneiip/jiuip/
光子IP,GuangziIP,4,元/月起,约 4–35 元/月（七种套餐）,住宅 + 机房,SOCKS5 / HTTP / L2TP,支持,http://www.gzsk5.com/#/register?invitation=adminA1&shareid=231,adminA1,/guoneiip/guangziip/,光子IP价格表：七种套餐全列（2026）,https://socks5ip.com.cn/guoneiip/guangziip/
糖果IP,TangguoIP,5,元/月起,官方 5 折，Socks5 低至 5 元/月,住宅线路,SOCKS5 / HTTP,支持,http://www.tangguoip.com/register/800659,800659,/guoneiip/tangguoip/,糖果IP价格表2026：官方5折全列，Socks5低至5元/月,https://socks5ip.com.cn/guoneiip/tangguoip/
优众IP,YouzhongIP,0.24,元/天起,按天 / 周 / 月计费，0.24 元/天起,住宅 + 特价档,SOCKS5 / HTTP,支持,https://sk5ip.cn/views/login.html#?promotionCode=8F6A590B1DFB4F4C99D8E775B8AC51DC,8F6A590B1DFB4F4C99D8E775B8AC51DC,/guoneiip/youzhongip/,优众IP价格表：按天/周/月全计费（2026）,https://socks5ip.com.cn/guoneiip/youzhongip/
